id,atb_year,core_metric_key,core_metric_parameter,core_metric_case,tax_credit_case,crpyears,technology,technology_alias,techdetail,techdetail2,resourcedetail,display_name,default,scale,maturity,scenario,core_metric_variable,units,value
55495,2024,17192,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2022,$/kW,4078.562869
233343,2024,38918,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2023,$/kW,4056.941989
412049,2024,60644,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2024,$/kW,4035.321108
446693,2024,82370,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2025,$/kW,4013.700228
3321,2024,104096,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2026,$/kW,3992.079348
20040,2024,125822,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2027,$/kW,3970.458467
36837,2024,147548,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2028,$/kW,3948.837587
53501,2024,169274,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2029,$/kW,3927.216707
71205,2024,191000,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2030,$/kW,3905.595826
88644,2024,212726,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2031,$/kW,3883.974946
105817,2024,234452,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2032,$/kW,3862.354066
123696,2024,256178,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2033,$/kW,3841.103829
141432,2024,277904,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2034,$/kW,3818.865209
159267,2024,299630,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2035,$/kW,3797.491425
176982,2024,321356,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2036,$/kW,3762.280277
194958,2024,343082,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2037,$/kW,3726.945581
213099,2024,364808,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2038,$/kW,3691.734433
230989,2024,386534,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2039,$/kW,3656.399737
249149,2024,408260,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2040,$/kW,3621.065041
266670,2024,429986,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2041,$/kW,3585.853893
284086,2024,451712,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2042,$/kW,3550.519197
302153,2024,473438,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2043,$/kW,3515.308049
320063,2024,495164,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2044,$/kW,3479.973353
338026,2024,516890,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2045,$/kW,3444.638657
355729,2024,538616,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2046,$/kW,3409.427509
373797,2024,560342,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2047,$/kW,3374.092813
391908,2024,582068,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2048,$/kW,3338.881665
409697,2024,603794,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2049,$/kW,3303.54697
427859,2024,625520,CAPEX,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2050,$/kW,3268.335822
55383,2024,17147,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2022,$/kW*yr,86.5
233023,2024,38873,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2023,$/kW*yr,86.1
411729,2024,60599,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2024,$/kW*yr,85.7
446643,2024,82325,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2025,$/kW*yr,85.3
3276,2024,104051,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2026,$/kW*yr,84.9
19995,2024,125777,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2027,$/kW*yr,84.5
36788,2024,147503,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2028,$/kW*yr,84.1
53451,2024,169229,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2029,$/kW*yr,83.7
71153,2024,190955,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2030,$/kW*yr,83.3
88595,2024,212681,Fixed O&M,R&D,,20,Coal_FE,Coal,Coal-new,New,Coal,Coal-new,1,Utility,Y,Moderate,2031,$/kW*yr,82.9
